wavelet,pearson correlation,nrmse,compression ratio,mode,threshold,levels
haar,0.9614660524071266,0.1432441739533734,3.173782793083043,soft,150,9
haar,0.9633365935633793,0.15876488860899038,3.1710462566822963,soft,150,4
haar,0.9779758536413055,0.10605976696636321,2.130711146546896,hard,150,4
haar,0.9775597042722918,0.10700445666890893,2.128808280158216,hard,150,9
haar,0.9880211047850653,0.08344438871086626,2.051360985093973,soft,50,4
haar,0.9878982114086573,0.0808196431479741,2.0486946326349798,soft,50,9
db4,0.9697464384550295,0.14643132199212067,1.8567774259701355,soft,150,4
db4,0.9671857864789271,0.13250664018242878,1.801453626017853,soft,150,9
haar,0.9964036069102535,0.0441352704367201,1.7856142086913096,soft,20,9
haar,0.9964078621506484,0.044738284537307715,1.7854903665207118,soft,20,4
coif1,0.9682614771360228,0.14938932387664924,1.70373695704926,soft,150,4
sym2,0.9681088692050055,0.14966957013755983,1.693667832589555,soft,150,4
coif1,0.9659593907894333,0.13483757707762922,1.6424638627368833,soft,150,9
haar,0.9951467673764403,0.04998581871707008,1.634995099170352,hard,50,4
haar,0.9951172016468194,0.050134892889700265,1.634624827504466,hard,50,9
sym2,0.9658039108467971,0.13509035339006642,1.6336324966209284,soft,150,9
db4,0.9902484714073881,0.07565865261927131,1.5799248824754415,soft,50,4
haar,0.9988762866249572,0.024073759695588667,1.5740355396677557,hard,20,4
haar,0.9988730342436454,0.024108417072764163,1.5740098762714732,hard,20,9
db4,0.9767893910559249,0.7918464203295487,1.5649551174241656,soft,150,1
sym2,0.975596912348103,0.7938178407974128,1.555662311816911,soft,150,1
coif1,0.9756992409248008,0.7935432132896074,1.5546539715769556,soft,150,1
haar,0.9998925243860588,0.007581179264905791,1.5480011625226742,soft,2,4
haar,0.999892686206173,0.00756422950820416,1.546915966470712,soft,2,9
coif1,0.9895255886267118,0.07821875690524506,1.5436262938986147,soft,50,4
db4,0.9899959651422325,0.07349200553003478,1.5379886610522877,soft,50,9
sym2,0.9893388977924915,0.07884499606503269,1.5295938556481337,soft,50,4
haar,0.9718249340774466,0.8002548403432875,1.517607342795442,soft,150,1
coif1,0.9966907482370692,0.04287881248565523,1.517353907330567,soft,20,4
coif1,0.9998957867788735,0.007450562293608011,1.5158558965249904,soft,2,4
coif1,0.9998957124136235,0.007438669052559411,1.51434302476059,soft,2,9
sym2,0.9998954547304262,0.0074630735419332125,1.5142925487381893,soft,2,4
sym2,0.9998954040761555,0.007451001693282886,1.512199276717307,soft,2,9
sym2,0.9966421934030424,0.04317768780637573,1.5077621381020245,soft,20,4
db4,0.9958351269453962,0.18621856524585884,1.5068531370295724,soft,50,1
db4,0.9983495729292662,0.07230292516628141,1.5001942449117545,soft,20,1
db4,0.9968025740490334,0.04214024015761081,1.4999611570536848,soft,20,4
sym2,0.9947816191897603,0.18855910009007018,1.499646603314162,soft,50,1
sym2,0.99814773306809,0.07333351279924491,1.4971842535315567,soft,20,1
db4,0.9998960109053648,0.00743735251144216,1.4953608866205337,soft,2,4
bior1.3,0.9999039491746705,0.0071242258209946625,1.4940186713403052,soft,2,4
sym2,0.9999273109478143,0.008801669875005611,1.4934870805180942,soft,2,1
