wavelet,pearson correlation,nrmse,compression ratio,mode,threshold,levels
haar,0.9129213767891221,0.23894353751929326,3.7756216010114185,soft,150,9
haar,0.9157570037856599,0.2603647409199394,3.6172303078076635,soft,150,4
haar,0.9346856344185696,0.20234385607716235,3.569195454631685,hard,150,9
haar,0.9355259922470329,0.2010815849604319,3.474093359923185,hard,150,4
bior1.3,0.9205954215451455,0.2246180857890019,3.109133574603804,soft,150,9
bior1.3,0.9218639946576399,0.2507900568908777,3.078406989871885,soft,150,4
bior1.3,0.9376746766139319,0.1983666146351472,2.867508992257514,hard,150,9
bior1.3,0.938266950222801,0.19770898767207046,2.863232384720743,hard,150,4
haar,0.9638057894334513,0.15588113638284753,1.8480178374980356,soft,50,9
haar,0.9635378015985074,0.1598910977454253,1.8406413868670266,soft,50,4
haar,0.9422109900925709,1.117062382187236,1.7404210837912342,soft,150,1
bior1.3,0.9411960075480359,1.110233982510808,1.7311171020306764,soft,150,1
haar,0.9822745263195678,0.10669923044305087,1.707457187196544,hard,50,9
haar,0.9823157989737864,0.10657604629893845,1.7047960783247704,hard,50,4
haar,0.9529898333197857,0.23776158587284604,1.6848727455089285,hard,150,1
bior1.3,0.9525294045789859,0.240596645576008,1.6744510995808155,hard,150,1
bior1.3,0.9676546782484878,0.14520056964737177,1.6533067364980052,soft,50,9
bior1.3,0.9673760853694856,0.15034451639212207,1.649017476817361,soft,50,4
bior1.3,0.9832665714683514,0.10387627158808872,1.5055053212771066,hard,50,4
bior1.3,0.9832397152354351,0.10396531914875637,1.505083796648134,hard,50,9
db4,0.9254078183351762,0.2211421229692544,1.4007802669883034,soft,150,9
haar,0.9888862810627546,0.08766181620893677,1.3638887680686647,soft,20,9
haar,0.9887198035436734,0.08853035166209565,1.3633254349543127,soft,20,4
db4,0.929493083233254,0.23996844458937766,1.3602206509637214,soft,150,4
sym2,0.9229519655862316,0.22534879255570794,1.3587177098453829,soft,150,9
haar,0.9792150025091595,0.2793427410483698,1.335929789182933,soft,50,1
coif1,0.9225274028965382,0.2251544670872001,1.3298110700376728,soft,150,9
sym2,0.926714720908631,0.2450045682775067,1.3148026499692513,soft,150,4
bior1.3,0.9797388456111145,0.2775670769022539,1.3137009831303765,soft,50,1
coif1,0.9266820368949318,0.2450444194876938,1.295697147500792,soft,150,4
haar,0.9965360686110912,0.04733732178230824,1.2911711217101878,hard,20,9
haar,0.9965386715149039,0.04731956393087786,1.2903387308053686,hard,20,4
haar,0.9858212217607614,0.1021112135711063,1.2855864104736656,hard,50,1
bior1.3,0.9899066706781305,0.08200279716111265,1.2755544105383765,soft,20,9
bior1.3,0.9897783257730451,0.08327082910836185,1.274845677966676,soft,20,4
bior1.3,0.9862088922015283,0.10277143803266758,1.260581168635386,hard,50,1
db4,0.9459676932005947,1.10979864877359,1.2550229467954532,soft,150,1
coif1,0.9457191195301226,1.1097836501864327,1.2529084673525788,soft,150,1
sym2,0.9453475162799441,1.1109313465711375,1.2528500652585035,soft,150,1
bior1.3,0.996513644008524,0.04751638438857231,1.1979205134408943,hard,20,9
bior1.3,0.9965163098987238,0.04750044841446944,1.1968917190969064,hard,20,4
sym2,0.9429691538133202,0.1895483106812548,1.1919628998435154,hard,150,4
db4,0.94617983865454,0.1843042684708461,1.1885293021434122,hard,150,4
sym2,0.9421571074973019,0.19080120629364358,1.1866477451907915,hard,150,9
db4,0.945382868488535,0.1855708827772036,1.1854215759164284,hard,150,9
coif1,0.9429860935733196,0.1895038387557585,1.167937177975045,hard,150,4
coif1,0.9421837174853156,0.19068619621896885,1.1647413515588243,hard,150,9
sym2,0.9568305772240564,0.23148164822439818,1.1629055486534765,hard,150,1
coif1,0.9571662415557992,0.23053223943827947,1.1557263256179664,hard,150,1
db4,0.9582575637144426,0.22906839303111157,1.1379433396235545,hard,150,1
haar,0.9927167801184503,0.11381433249775857,1.1365753466034374,soft,20,1
bior1.3,0.9929383074973765,0.11290806540324208,1.1211200295560044,soft,20,1
sym2,0.9689819942434439,0.14435055219168996,1.1181350845392684,soft,50,9
db4,0.9718813104454718,0.13771772155788675,1.1163835304309644,soft,50,9
sym2,0.9689288217057724,0.1479065882000825,1.1123507153837058,soft,50,4
db4,0.9718908446670371,0.14101790583423085,1.111798562851605,soft,50,4
coif1,0.9690102421982981,0.14409965267357822,1.1083665197822654,soft,50,9
haar,0.9975428863718321,0.03987871343878844,1.1067495705781312,hard,20,1
coif1,0.969024297053694,0.14770376581659597,1.1041450260274535,soft,50,4
bior1.3,0.9974724989756275,0.0404634472058678,1.0908548004615215,hard,20,1
coif1,0.9831323523340117,0.27213265130787423,1.0537862663828834,soft,50,1
sym2,0.9830117635833819,0.2723269410001741,1.0518774040611862,soft,50,1
db4,0.985243343232667,0.268107159242956,1.0506556022158684,soft,50,1
sym2,0.9901839162559528,0.08205862022218623,1.0370290753754996,soft,20,9
coif1,0.9902095659967759,0.08187671086853755,1.0351860818275855,soft,20,9
sym2,0.9900768300092591,0.08282471428908911,1.0346225123317954,soft,20,4
db4,0.9910740041763167,0.07828956165806,1.0333553029054758,soft,20,9
coif1,0.9901186747842967,0.08265423135151227,1.03325882682454,soft,20,4
db4,0.9909881001547576,0.07899172560571112,1.0329751780253327,soft,20,4
sym2,0.9848499103944796,0.0987045502751128,1.0099956517304503,hard,50,4
sym2,0.984813222921317,0.09882237607411856,1.008934077661052,hard,50,9
coif1,0.9849312266188455,0.09844192160348356,1.0057196923126266,hard,50,4
coif1,0.9848843726135756,0.0985929826735505,1.0052790467794075,hard,50,9
coif1,0.9880741501378554,0.09491685603169163,1.0008085493454475,hard,50,1
sym2,0.9879920052485794,0.0952561357510416,1.0000637853410654,hard,50,1
db4,0.9868071839471482,0.09215870027328392,0.9966943374636457,hard,50,4
db4,0.986771283427329,0.09228082028532232,0.9964251289601627,hard,50,9
db4,0.989764214002043,0.08878094134128413,0.9892266762008918,hard,50,1
sym2,0.9967244140528602,0.04603423439877208,0.9875391697328847,hard,20,4
sym2,0.9967216735642122,0.04605395888340659,0.9874406936222027,hard,20,9
coif1,0.9967319516487676,0.045980976219841006,0.9859969079998951,hard,20,4
coif1,0.9967291774196017,0.04599987635996965,0.9858367479538476,hard,20,9
db4,0.9947051716278058,0.1068786295072518,0.9812453387156499,soft,20,1
coif1,0.9939087305917688,0.10969722980929636,0.9809128068236325,soft,20,1
sym2,0.9938614391228187,0.10987288804306633,0.9802433115377602,soft,20,1
db4,0.9968575737840946,0.04508954064748124,0.974400008286463,hard,20,9
db4,0.9968602364741451,0.04507106066958025,0.9741881032268754,hard,20,4
haar,0.99971486041158,0.013993499840013933,0.9685711049792018,soft,2,4
haar,0.9997182714935525,0.013979902513903124,0.9680976417982639,soft,2,9
coif1,0.9977323078627148,0.038312467824027766,0.9615763999979556,hard,20,1
bior1.3,0.999732913776159,0.013396771972491187,0.9610508356830534,soft,2,9
bior1.3,0.999730328917289,0.01344094126049828,0.9609379389246697,soft,2,4
