wavelet,pearson correlation,nrmse,compression ratio,mode,threshold,levels
haar,0.9345047476478499,0.2129630158151206,2.6224910980761824,soft,150,9
haar,0.9384554910694702,0.23689147751126816,2.5871051855147282,soft,150,4
haar,0.9559273298507026,0.1733268860596641,1.5889616476410224,hard,150,9
haar,0.9568791606911664,0.17168071031909873,1.5846827684219889,hard,150,4
db4,0.9445654879754806,0.19659116845064936,1.2785220425621573,soft,150,9
db4,0.9484603939069836,0.2196773689793074,1.218835579302972,soft,150,4
coif1,0.9419238242900316,0.20091226987328126,1.1434065341378459,soft,150,9
sym2,0.9418921398875758,0.2009519785114609,1.1421596808919097,soft,150,9
haar,0.975114203719337,0.13322235774465277,1.1094100977528827,soft,50,9
haar,0.9754547208099504,0.1372684211361618,1.1083183884694032,soft,50,4
coif1,0.945831376564648,0.22439961887702287,1.0719581711327564,soft,150,4
sym2,0.9457804089404898,0.2244966862487375,1.0701225395291896,soft,150,4
db4,0.9663964053274413,0.15191918954117564,0.8940095486796901,hard,150,4
db4,0.9654541766320752,0.15382703081417046,0.8923057660801577,hard,150,9
db4,0.9808618532439962,0.11714552389001426,0.890774730327511,soft,50,9
db4,0.9812547067762762,0.1208520801509656,0.8829881517199856,soft,50,4
bior1.3,0.9436644854816528,0.1968969771898686,0.8755419889150393,soft,150,9
coif1,0.9788822093340048,0.12281337061178484,0.8264059536286462,soft,50,9
sym2,0.9787318369064046,0.12323779518759406,0.8260382994212572,soft,50,9
coif1,0.9792644915954428,0.1266896211822664,0.8165752800837057,soft,50,4
sym2,0.9791093937081645,0.1271298097007394,0.8163480074967159,soft,50,4
bior1.3,0.9459713546730251,0.22354325106199205,0.8152409203685251,soft,150,4
haar,0.9917427637478836,0.07830723580264172,0.8126680431180262,soft,20,4
haar,0.9917240762490104,0.0774303828814104,0.8124208700342763,soft,20,9
coif1,0.9628016820148978,0.1595159444115578,0.8043835971720588,hard,150,9
coif1,0.9637263903290288,0.15774841727253655,0.8033183345876256,hard,150,4
sym2,0.9626949470374497,0.1597400070133292,0.8019581713454994,hard,150,9
sym2,0.96360969835757,0.15799275985228278,0.8019136286307879,hard,150,4
haar,0.9879056441514057,0.09154370594801035,0.7809470829501941,hard,50,4
haar,0.9878339700156468,0.0918061184923011,0.7804125099660629,hard,50,9
db4,0.9936023823347685,0.06803317120782587,0.7661798491969891,soft,20,9
db4,0.993645877875678,0.06881961317653965,0.7640326982935082,soft,20,4
sym2,0.9928399987597847,0.07192361277099282,0.7276647475644086,soft,20,9
coif1,0.9929150129003503,0.0715489380675205,0.7275420995358354,soft,20,9
sym2,0.9928758126530912,0.07276218272529857,0.725184761165775,soft,20,4
coif1,0.9929524418747346,0.07238235198717455,0.7249129346665893,soft,20,4
db4,0.9568281108423567,1.1927306746145723,0.7150512958559848,soft,150,1
sym2,0.9542695012836047,1.1984679127383817,0.7060450053413173,soft,150,1
