wavelet,pearson correlation,nrmse,compression ratio,mode,threshold,levels
coif1,0.9420104768168928,0.20792765581203682,2.0737488831978785,hard,150,4
db4,0.9410660579980827,0.20836059470720988,2.0546428499946323,hard,150,4
coif1,0.9417013543341796,0.2085525066115391,2.0845136202572774,hard,150,9
sym2,0.9412930183828008,0.2086355320865839,2.046960977939797,hard,150,4
db4,0.9405733721233445,0.20914102130283196,2.0561824043497934,hard,150,9
sym2,0.9409577156042273,0.20923862326544898,2.054704537452429,hard,150,9
haar,0.9356138135613322,0.21436629722133593,2.5126891128413154,hard,150,4
haar,0.9355284955683234,0.2146766769436192,2.5203499726583862,hard,150,9
bior1.3,0.956614780985065,0.21547984517573737,3.336751232586074,soft,150,9
bior1.3,0.9291394834032496,0.2169484543082532,1.7510461337826198,hard,150,4
bior1.3,0.9289466637872132,0.21723894625683832,1.758501449449147,hard,150,9
db4,0.9569458762225636,0.22205711075229187,4.376110541643979,soft,150,9
sym2,0.9557123033996127,0.22354361418622326,4.213459353468943,soft,150,9
coif1,0.9556647974559903,0.22371797303946725,4.278709799649505,soft,150,9
haar,0.9505552563365897,0.23007007472394642,6.614697896743921,soft,150,9
coif1,0.9082003524931656,0.23939741288626346,1.3964749428340697,soft,50,9
db4,0.9077257346750955,0.23953732024596383,1.4018466504244191,soft,50,9
sym2,0.907794482699144,0.2396695002354573,1.3869528503216495,soft,50,9
bior1.3,0.903567010480739,0.24172100113122777,1.3414012663190031,soft,50,9
haar,0.9048816200898746,0.2426072706541851,1.4003411549291058,soft,50,9
bior1.3,0.9573789807380778,0.24443048811889756,3.111168970001543,soft,150,4
db4,0.9600034095162249,0.24571001575025322,4.2055268989404295,soft,150,4
db4,0.9097475485233999,0.24636372962306735,1.400222209271037,soft,50,4
coif1,0.9100044367154669,0.24639577377284974,1.394560595563163,soft,50,4
sym2,0.9095870138817277,0.24676152069592625,1.3847392404814927,soft,50,4
coif1,0.9582849419504845,0.2480871980142191,3.994817232260518,soft,150,4
sym2,0.9582263313120583,0.24815805910899982,3.958365831728132,soft,150,4
bior1.3,0.9048867761663613,0.24979143370346468,1.3392757600700234,soft,50,4
haar,0.9065473891728721,0.24996457309480738,1.3993806169540928,soft,50,4
haar,0.9526355418276921,0.2557301057041518,6.533049842344297,soft,150,4
db4,0.8730568150944245,0.3050400895961413,1.3204867489998748,hard,150,1
coif1,0.8715302437801693,0.3075676888323224,1.255560182284471,hard,150,1
sym2,0.8711111517541494,0.3083215610563202,1.2379651941684775,hard,150,1
haar,0.8663989497663841,0.3131591400135005,1.1696448871507952,hard,150,1
coif1,0.8176098733723156,0.3158650274315274,1.1432313048795675,soft,20,9
